,leftEmployer,jobLength_old,avgSalary,ratingBusinessOutlook,ratingCareerOpportunities,ratingCeo,ratingCompensationAndBenefits,ratingCultureAndValues,ratingOverall,ratingRecommendToFriend,ratingSeniorManagement,ratingWorkLifeBalance,employeesTotalNum,gdSectorName,metro,jobTitle
0,1,56.567567567567565,36.2972972972973,62.5945945945946,72.62162162162163,73.1891891891892,75.16216216216216,71.53153153153153,83.63963963963964,75.8108108108108,78.36036036036036,78.87387387387388,22500,14,57,1241
1,0,23.0990990990991,1.0990990990990992,53.072072072072075,37.5045045045045,58.14414414414414,79.04504504504504,39.45945945945946,78.11711711711712,67.63063063063063,57.36036036036036,71.36936936936937,8500,8,32,1109
2,0,61.693693693693696,35.16216216216216,38.88288288288288,25.64864864864865,19.954954954954953,46.4054054054054,33.31531531531532,21.765765765765767,19.936936936936938,30.036036036036037,27.945945945945947,14500,9,22,1214
3,1,39.450450450450454,68.50450450450451,27.35135135135135,73.42342342342343,83.14414414414415,47.03603603603604,73.03603603603604,72.62162162162163,86.03603603603604,79.0,90.07207207207207,1662,8,22,473
4,0,92.96396396396396,21.65765765765766,29.396396396396398,28.846846846846848,24.0,62.37837837837838,90.82882882882883,87.61261261261261,57.270270270270274,85.57657657657657,94.93693693693693,7500,8,52,564
5,0,39.450450450450454,32.24324324324324,40.873873873873876,75.57657657657657,69.22522522522523,78.50450450450451,74.48648648648648,87.61261261261261,90.01801801801801,81.34234234234235,77.34234234234235,9607,8,69,1150
6,0,35.68468468468468,11.126126126126126,56.7027027027027,98.07207207207207,89.75675675675676,98.53153153153153,84.77477477477477,76.27027027027027,59.270270270270274,85.57657657657657,30.144144144144143,72500,20,42,903
7,1,70.08108108108108,23.414414414414413,14.72072072072072,7.648648648648648,0.5315315315315315,9.927927927927929,6.675675675675675,8.468468468468469,7.801801801801802,1.018018018018018,5.45945945945946,118500,23,22,418
8,0,39.450450450450454,66.43243243243244,40.873873873873876,65.38738738738739,77.66666666666667,87.66666666666667,67.74774774774775,52.96396396396396,49.090090090090094,16.36036036036036,91.98198198198199,11260,12,83,773
9,1,27.513513513513512,90.0,91.72072072072072,97.01801801801801,95.24324324324324,99.54054054054055,99.74774774774775,99.27927927927928,99.67567567567568,97.72072072072072,98.990990990991,53600,12,82,1240
10,1,91.68468468468468,96.01801801801801,45.3963963963964,58.4954954954955,30.882882882882882,21.09009009009009,72.30630630630631,48.08108108108108,69.31531531531532,29.423423423423422,26.18918918918919,176187,12,83,1023
11,0,18.216216216216218,9.693693693693694,90.6036036036036,95.88288288288288,95.24324324324324,62.37837837837838,96.4054054054054,98.27927927927928,97.25225225225225,96.17117117117117,94.93693693693693,4735,8,38,833
12,1,51.189189189189186,83.02702702702703,29.396396396396398,4.7207207207207205,89.75675675675676,1.4144144144144144,35.03603603603604,24.0,4.873873873873874,27.52252252252252,32.37837837837838,21247,19,6,611
13,1,18.216216216216218,58.306306306306304,96.46846846846847,71.09009009009009,39.14414414414414,89.61261261261261,99.63063063063063,67.43243243243244,47.513513513513516,79.0,78.87387387387388,50000,21,22,119
14,1,12.09009009009009,11.594594594594595,82.63963963963964,8.846846846846846,0.5315315315315315,21.62162162162162,1.0990990990990992,3.5945945945945947,2.054054054054054,7.054054054054054,11.855855855855856,26500,20,22,903
15,0,5.657657657657658,19.72072072072072,82.63963963963964,28.846846846846848,48.189189189189186,71.54054054054055,66.37837837837837,60.52252252252252,34.729729729729726,20.666666666666668,37.351351351351354,341000,20,43,710
16,0,23.0990990990991,95.2072072072072,69.48648648648648,77.65765765765765,73.1891891891892,19.117117117117118,92.43243243243244,35.747747747747745,70.90090090090091,58.0990990990991,2.279279279279279,3700,20,42,210
17,0,12.09009009009009,42.765765765765764,4.666666666666667,47.666666666666664,31.792792792792792,17.43243243243243,37.234234234234236,17.405405405405407,46.108108108108105,39.01801801801802,1.6036036036036037,10000,23,6,538
18,1,27.513513513513512,80.30630630630631,98.04504504504504,98.87387387387388,95.24324324324324,86.74774774774775,85.87387387387388,94.53153153153153,91.43243243243244,97.26126126126127,82.54054054054055,1006,18,94,251
19,1,74.72972972972973,80.16216216216216,20.74774774774775,54.432432432432435,15.774774774774775,26.89189189189189,70.06306306306307,41.432432432432435,42.5045045045045,32.8018018018018,15.0990990990991,176187,12,29,1131
20,1,5.657657657657658,87.8108108108108,99.45945945945945,28.07207207207207,95.24324324324324,36.108108108108105,87.47747747747748,3.1621621621621623,6.702702702702703,3.135135135135135,3.918918918918919,15000,14,60,251
